sku,title,link,price,image
139194FLS,ABC Sweet Soy Sauce Kecap Manis 600ml,http://www.jumbo.com/abc-sweet-soy-sauce-kecap-manis-600ml/139194FLS/,2.4,https://static-images.jumbo.com/product_images/139194FLS-1_360x360.png
185249DS,Abdij Bieren 6 x 33cl,http://www.jumbo.com/abdij-bieren-6-x-33cl/185249DS/,10.99,https://static-images.jumbo.com/product_images/185249DS-1_360x360.png
165318DS,Aberfeldy 12 Year Single Malt Whisky 700ml,http://www.jumbo.com/aberfeldy-12-year-single-malt-whisky-700ml/165318DS/,37.49,https://static-images.jumbo.com/product_images/165318DS-1_360x360.png
171562FLS,Aberlour 12 YO Double Cask Matured 700ml,http://www.jumbo.com/aberlour-12-yo-double-cask-matured-700ml/171562FLS/,42.49,https://static-images.jumbo.com/product_images/171562FLS-1_360x360.png
23402FLS,Absolut Citron Vodka 700ml,http://www.jumbo.com/absolut-citron-vodka-700ml/23402FLS/,18.49,https://static-images.jumbo.com/product_images/23402FLS-1_360x360.png
23240FLS,Absolut Vodka Original 700ml,http://www.jumbo.com/absolut-vodka-original-700ml/23240FLS/,16.49,https://static-images.jumbo.com/product_images/23240FLS-1_360x360.png
199872BLK,Achel Trappist Blond Bier Fles 33cl,http://www.jumbo.com/achel-trappist-blond-bier-fles-33cl/199872BLK/,2.19,https://static-images.jumbo.com/product_images/199872BLK-1_360x360.png
193934PAK,Achterham 175g,http://www.jumbo.com/achterham-175g/193934PAK/,1.39,https://static-images.jumbo.com/product_images/271220182258_193934PAK-1_360x360.png
203567FLS,Acqua Panna Toscana Natuurlijk Mineraalwater 1L,http://www.jumbo.com/acqua-panna-toscana-natuurlijk-mineraalwater-1l/203567FLS/,1.19,https://static-images.jumbo.com/product_images/230720181551_203567FLS-1_360x360.png
85142FLS,Actiff Gel WC Dennenfris 750ml,http://www.jumbo.com/actiff-gel-wc-dennenfris-750ml/85142FLS/,0.74,https://static-images.jumbo.com/product_images/85142FLS-1_360x360.png
187829STK,Activia Aardbei 0% Vet 4 x 125g,http://www.jumbo.com/activia-aardbei-0-vet-4-x-125g/187829STK/,1.57,https://static-images.jumbo.com/product_images/187829STK-1_360x360.png
134984PAK,Activia Braam Framboos 4 x 125g,http://www.jumbo.com/activia-braam-framboos-4-x-125g/134984PAK/,2.09,https://static-images.jumbo.com/product_images/100720182234_134984PAK-1_360x360.png
178335STK,Activia Drinkyoghurt Aardbei Kiwi 310g,http://www.jumbo.com/activia-drinkyoghurt-aardbei-kiwi-310g/178335STK/,0.86,https://static-images.jumbo.com/product_images/100720182253_178335STK-1_360x360.png
96069STK,Activia met Bifidus Aardbei 4 x 125g,http://www.jumbo.com/activia-met-bifidus-aardbei-4-x-125g/96069STK/,1.7,https://static-images.jumbo.com/product_images/100720182226_96069STK-1_360x360.png
77511BAK,Activia met Bifidus Breakfast 190g,http://www.jumbo.com/activia-met-bifidus-breakfast-190g/77511BAK/,0.97,https://static-images.jumbo.com/product_images/100720182247_77511BAK-1_360x360.png
187825STK,Activia met Bifidus Granen 4 x 125g,http://www.jumbo.com/activia-met-bifidus-granen-4-x-125g/187825STK/,1.77,https://static-images.jumbo.com/product_images/187825STK-1_360x360.png
187824STK,Activia met Bifidus Granen Hazelnoot Quinoa 4 x 125g,http://www.jumbo.com/activia-met-bifidus-granen-hazelnoot-quinoa-4-x-125g/187824STK/,1.87,https://static-images.jumbo.com/product_images/100720182236_187824STK-1_360x360.png
497160CUP,Activia met Bifidus Vijg 4 x 125g,http://www.jumbo.com/activia-met-bifidus-vijg-4-x-125g/497160CUP/,1.85,https://static-images.jumbo.com/product_images/100720182232_497160CUP-1_360x360.png
491422TUB,Activia Naturel 4 x 125g,http://www.jumbo.com/activia-naturel-4-x-125g/491422TUB/,1.39,https://static-images.jumbo.com/product_images/100720182249_491422TUB-1_360x360.png
96080STK,Activia Perzik 0% Vet 4 x 125g,http://www.jumbo.com/activia-perzik-0-vet-4-x-125g/96080STK/,1.87,https://static-images.jumbo.com/product_images/100720182229_96080STK-1_360x360.png
